id,predict_0,predict_1,predict_2
11066,0.9914512038230896,0.008476926013827324,7.187505252659321e-05
18000,0.2857119143009186,0.22376157343387604,0.4905264675617218
16964,0.9908665418624878,0.009071005508303642,6.237075285753235e-05
4795,0.8661996126174927,0.12900739908218384,0.004792946856468916
3392,0.38489505648612976,0.15085527300834656,0.46424973011016846
3795,0.7448045611381531,0.24177058041095734,0.0134248286485672
2881,0.7744604349136353,0.22544583678245544,9.375235094921663e-05
1903,0.21566177904605865,0.23242513835430145,0.5519130825996399
5245,0.542497992515564,0.39940589666366577,0.05809611827135086
6726,0.9569118618965149,0.042582347989082336,0.0005058482638560236
1311,0.9042066335678101,0.09570333361625671,9.005027095554397e-05
15795,0.5918294191360474,0.40811434388160706,5.619933654088527e-05
4315,0.7731846570968628,0.17555658519268036,0.05125872418284416
3393,0.6211624145507812,0.19955940544605255,0.1792781800031662
6764,0.9542274475097656,0.03176990523934364,0.01400266494601965
13039,0.9067164659500122,0.09316875785589218,0.00011474338680272922
12331,0.4300202429294586,0.2965428829193115,0.27343684434890747
14276,0.4040207266807556,0.24827620387077332,0.34770309925079346
14638,0.9899022579193115,0.01003029104322195,6.748757004970685e-05
6573,0.9810003042221069,0.018758932128548622,0.00024079186550807208
2222,0.3490850031375885,0.2681123912334442,0.3828026056289673
8824,0.9855630397796631,0.014371386729180813,6.551685510203242e-05
6360,0.5945649147033691,0.37152421474456787,0.033910878002643585
7553,0.5106527209281921,0.1329752802848816,0.35637199878692627
13760,0.537617027759552,0.4004519283771515,0.06193108111619949
4284,0.7702165842056274,0.1637655794620514,0.06601782143115997
1356,0.7821794152259827,0.19305552542209625,0.024765126407146454
3410,0.9576492309570312,0.02546505071222782,0.016885677352547646
4830,0.5130674242973328,0.4340938627719879,0.052838705480098724
8998,0.437744140625,0.5275360345840454,0.03471985086798668
18052,0.9841123223304749,0.01582462713122368,6.308151932898909e-05
7539,0.761017382144928,0.23889201879501343,9.055740520125255e-05
9529,0.8693681359291077,0.1178046390414238,0.012827210128307343
3656,0.7513822913169861,0.19209839403629303,0.05651925504207611
14238,0.39014503359794617,0.18937033414840698,0.42048463225364685
2682,0.6327738761901855,0.3671325147151947,9.363749268231913e-05
7312,0.5532304644584656,0.3194737732410431,0.12729580700397491
12971,0.7349109649658203,0.2492610514163971,0.015828004106879234
10735,0.8646065592765808,0.13530226051807404,9.119149035541341e-05
4050,0.804084300994873,0.18662595748901367,0.009289766661822796
5943,0.988677442073822,0.011288191191852093,3.4330369089730084e-05
6482,0.6777182221412659,0.3217911124229431,0.0004906870308332145
9746,0.4321158826351166,0.24170251190662384,0.3261816203594208
13320,0.32958170771598816,0.2678879499435425,0.402530312538147
803,0.7010786533355713,0.23209916055202484,0.06682221591472626
15437,0.8903018236160278,0.09265852719545364,0.017039621248841286
12302,0.985865592956543,0.01400385145097971,0.00013054232113063335
12271,0.694155216217041,0.30566415190696716,0.00018069639918394387
5341,0.8878620862960815,0.08237694948911667,0.029761003330349922
4427,0.9777816534042358,0.021995404735207558,0.000222944698180072
529,0.6999530792236328,0.2229064404964447,0.0771404355764389
2022,0.8078172206878662,0.18345846235752106,0.008724313229322433
14625,0.9854267835617065,0.014467012137174606,0.00010622495028655976
2922,0.3491708040237427,0.3397711217403412,0.31105804443359375
16330,0.3908206820487976,0.33891379833221436,0.27026546001434326
12890,0.6344386339187622,0.36546096205711365,0.00010038740583695471
2140,0.6387879848480225,0.36110904812812805,0.00010295125684933737
13484,0.7845587730407715,0.20033136010169983,0.015109931118786335
12392,0.9541729688644409,0.045771773904561996,5.5212756706168875e-05
2322,0.40351808071136475,0.2038433849811554,0.39263856410980225
567,0.39014503359794617,0.18937033414840698,0.42048463225364685
4436,0.5849205851554871,0.4149895906448364,8.982326107798144e-05
12156,0.985865592956543,0.01400385145097971,0.00013054232113063335
7508,0.2606331408023834,0.5156211256980896,0.22374574840068817
6184,0.9438683390617371,0.029431546106934547,0.02670017071068287
12213,0.3848097622394562,0.3353036940097809,0.2798865735530853
6458,0.06572665274143219,0.17310261726379395,0.7611707448959351
13967,0.9403886198997498,0.059339575469493866,0.0002718339383136481
